taxa	CMP_AA_Bv1v3--CC04_50D	CMP_AA_Bv1v3--CC04_52H	CMP_AA_Bv1v3--CC08_09D	CMP_AA_Bv1v3--CC08_12H	CMP_AA_Bv1v3--CC12_08D	CMP_AA_Bv1v3--CC12_20H	CMP_AA_Bv1v3--CC15_07D	CMP_AA_Bv1v3--CC15_21H	CMP_AA_Bv1v3--HL02_13H	CMP_AA_Bv1v3--HL02_16D	CMP_AA_Bv1v3--HL11_11H	CMP_AA_Bv1v3--HL11_12D	CMP_AA_Bv1v3--HL13_12D	CMP_AA_Bv1v3--HL13_19H	CMP_AA_Bv1v3--HL17_13H	CMP_AA_Bv1v3--HL17_15D	CMP_AA_Bv1v3--SW02_LON	CMP_AA_Bv1v3--SW04_APT	CMP_AA_Bv1v3--SW08_POP	CMP_AA_Bv1v3--SW11_AQ3	CMP_AA_Bv1v3--SW12_PEL	CMP_AA_Bv1v3--SW13_CAN	CMP_AA_Bv1v3--SW15_JAZ	CMP_AA_Bv1v3--SW17_CG2	CMP_DB_Bv3--Sample1	CMP_DB_Bv3--Sample10	CMP_DB_Bv3--Sample11	CMP_DB_Bv3--Sample12	CMP_DB_Bv3--Sample13	CMP_DB_Bv3--Sample14	CMP_DB_Bv3--Sample15	CMP_DB_Bv3--Sample17	CMP_DB_Bv3--Sample2	CMP_DB_Bv3--Sample3	CMP_DB_Bv3--Sample4	CMP_DB_Bv3--Sample46	CMP_DB_Bv3--Sample47	CMP_DB_Bv3--Sample5	CMP_DB_Bv3--Sample6	CMP_DB_Bv3--Sample7	CMP_DB_Bv3--Sample8	CMP_DB_Bv3--Sample9	CMP_JJ_Bv5v6--ApD1	CMP_JJ_Bv5v6--ApD2	CMP_JJ_Bv5v6--ApD3	CMP_JJ_Bv5v6--ApDMu1	CMP_JJ_Bv5v6--ApDMu2	CMP_JJ_Bv5v6--ApDMu3	CMP_JJ_Bv5v6--ApN1	CMP_JJ_Bv5v6--ApN2	CMP_JJ_Bv5v6--ApN3	CMP_JJ_Bv5v6--ApNMu4	CMP_JJ_Bv5v6--ApNMu5	CMP_JJ_Bv5v6--ApNMu6	CMP_JJ_Bv5v6--Water2	CMP_JJ_Bv5v6--Water3	CMP_JS_Bv1v4--176_2	CMP_JS_Bv1v4--42a	CMP_JS_Bv1v4--60a	CMP_JS_Bv1v4--66_2	CMP_KB_Bv1v3--CCAZ1	CMP_KB_Bv1v3--CCAZ2	CMP_KB_Bv1v3--CCAZ3	CMP_KB_Bv1v3--CCAZ4	CMP_KB_Bv1v3--CCAZ5	CMP_KB_Bv1v3--DictZ1	CMP_KB_Bv1v3--DictZ2	CMP_KB_Bv1v3--DictZ3	CMP_KB_Bv1v3--DictZ4	CMP_KB_Bv1v3--DictZ5	CMP_KB_Bv1v3--HalZ1	CMP_KB_Bv1v3--HalZ3	CMP_KB_Bv1v3--HalZ4	CMP_KB_Bv1v3--HalZ5	CMP_KB_Bv1v3--TurfZ1	CMP_KB_Bv1v3--TurfZ2	CMP_KB_Bv1v3--TurfZ3	CMP_KB_Bv1v3--TurfZ4	CMP_KB_Bv1v3--TurfZ5	CMP_KB_Bv1v3--WP	CMP_KM_Bv3v4--MID17	CMP_KM_Bv3v4--MID18	CMP_KM_Bv3v4--MID20	CMP_KM_Bv3v4--MID21	CMP_KM_Bv3v4--MID22	CMP_KM_Bv3v4--MID23	CMP_KM_Bv3v4--MID24	CMP_KM_Bv3v4--MID25	CMP_KM_Bv3v4--MID26	CMP_KM_Bv3v4--MID27	CMP_KM_Bv3v4--MID28	CMP_TB_Bv1v2--G24A	CMP_TB_Bv1v2--G24B	CMP_TB_Bv1v2--G24C	CMP_TB_Bv1v2--G30A	CMP_TB_Bv1v2--G30B	CMP_TB_Bv1v2--G30C	CMP_TB_Bv1v2--G41A	CMP_TB_Bv1v2--G41B	CMP_TB_Bv1v2--G41C	CMP_TB_Bv1v2--HalZ2	CMP_TB_Bv1v2--W24	CMP_TB_Bv1v2--W30	CMP_TB_Bv1v2--W41	CMP_TB_Bv5v6--Sp1	CMP_TB_Bv5v6--Sp2	CMP_TB_Bv5v6--Sp3	CMP_TB_Bv5v6--Sp4	CMP_TB_Bv5v6--Sp5
Bacteria;Fibrobacteres	0	0	0	0	1	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Firmicutes	73	1	8	45	155	43	194	438	970	8487	91	376	166	107	114	559	767	3	105	685	29	561	2	36	100	1	136	10	1	0	0	5	172	8	2	16	2	3	21	3	2	2	0	12	9	6	14	5	29	5	30	10	2	0	3	2	33	115	129	49	180	127	93	127	93	166	68	61	2	1	71	451	199	158	134	134	112	180	218	451	5	0	7	4	5	1	0	2	0	1	8	26	13	12	36	38	24	24	3	448	471	25	48	39	1752	263	21	72	307
Bacteria;Fusobacteria	1	0	0	0	3	0	636	814	73	1570	5	23	0	0	0	14	1367	0	6	26	1	19	1	2	48	0	26	0	0	0	0	5	1	0	0	2	0	0	0	1	1	0	0	3	12	17	9	7	1	0	2	53	2	2	2	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	1	14	0	0	0	0	0	0	0	0	88	0	12	1	6	2	5	0	0	4
Bacteria;Gemmatimonadetes	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	6	1	0	1	0	1	0	1	1	2	0	0	0	0	0	0	2	1	11	1	0	0	0	1	0	3	4	0	0	0	1	2	2	0	0	0	0	2	0	0	0	173	0	27	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	1	1	1	0	1	0	3	1	0	0	0	0	0	1	0	0	1	10	0	1	472	0	0	0	1	12	1	55	2	1	0	0	303	0	0
Bacteria;Lentisphaerae	1	0	0	1	8	0	0	5	8	4	0	1	8	0	134	14	2	12	31	1	14	8	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	24	22	0	0	0	54	26	20	19	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	44	84	0	2	0	0	0
Bacteria;Nitrospirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	18	1	65	0	0	0	2	3	0	170	0	2	0	0	5	0	0
Bacteria;OD1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	1	1	1	0	2	11	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	16	13	0	0	0	20	10	7	7	33	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	23	10	10	0	0	0	0	0
Bacteria;OP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2043	0	13	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
Bacteria;OP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;OP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	6	1	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	1	0	0	0	0	0
